Match_ID,Team,Shooter_Foot,Keeper_Dive,Kick_Placement,Is_Goal,Kick_Number,Shooter_Name
1,FRA,R,R,7.0,1,1.0,Unknown Shooter
1,GER,R,C,9.0,1,2.0,Unknown Shooter
1,FRA,R,L,6.0,1,3.0,Unknown Shooter
1,GER,R,C,2.0,1,4.0,Unknown Shooter
1,FRA,R,L,9.0,1,5.0,Unknown Shooter
1,GER,R,L,4.0,0,6.0,Unknown Shooter
1,FRA,L,L,8.0,0,7.0,Unknown Shooter
1,GER,R,R,3.0,1,8.0,Unknown Shooter
1,FRA,R,L,9.0,1,9.0,Unknown Shooter
1,GER,R,C,9.0,1,10.0,Unknown Shooter
1,FRA,R,L,7.0,0,11.0,Unknown Shooter
1,GER,R,C,9.0,1,12.0,Unknown Shooter
2,BRA,R,L,4.0,0,1.0,Unknown Shooter
2,FRA,R,R,2.0,1,2.0,Unknown Shooter
2,BRA,R,R,6.0,1,3.0,Unknown Shooter
2,FRA,R,R,6.0,1,4.0,Unknown Shooter
2,BRA,R,L,8.0,1,5.0,Unknown Shooter
2,FRA,L,R,9.0,1,6.0,Unknown Shooter
2,BRA,L,R,4.0,1,7.0,Unknown Shooter
2,FRA,R,R,1.0,0,8.0,Unknown Shooter
2,BRA,R,L,7.0,0,9.0,Unknown Shooter
2,FRA,R,R,7.0,1,10.0,Unknown Shooter
3,GER,L,R,1.0,1,1.0,Unknown Shooter
3,MEX,L,L,6.0,1,2.0,Unknown Shooter
3,GER,L,L,8.0,1,3.0,Unknown Shooter
3,MEX,R,L,8.0,0,4.0,Unknown Shooter
3,GER,R,L,7.0,1,5.0,Unknown Shooter
3,MEX,R,L,7.0,0,6.0,Unknown Shooter
3,GER,R,L,4.0,1,7.0,Unknown Shooter
3,MEX,,Unknown,,0,8.0,Unknown Shooter
3,GER,,Unknown,,0,9.0,Unknown Shooter
3,MEX,,Unknown,,0,10.0,Unknown Shooter
4,SPA,R,R,7.0,1,1.0,Unknown Shooter
4,BEL,R,L,9.0,1,2.0,Unknown Shooter
4,SPA,R,L,7.0,0,3.0,Unknown Shooter
4,BEL,R,R,4.0,1,4.0,Unknown Shooter
4,SPA,R,L,1.0,1,5.0,Unknown Shooter
4,BEL,R,R,7.0,1,6.0,Unknown Shooter
4,SPA,R,L,1.0,1,7.0,Unknown Shooter
4,BEL,L,R,5.0,1,8.0,Unknown Shooter
4,SPA,R,R,1.0,1,9.0,Unknown Shooter
4,BEL,R,L,5.0,1,10.0,Unknown Shooter
5,ROM,L,R,3.0,1,1.0,Unknown Shooter
5,IRE,L,R,2.0,1,2.0,Unknown Shooter
5,ROM,R,R,9.0,1,3.0,Unknown Shooter
5,IRE,R,L,9.0,1,4.0,Unknown Shooter
5,ROM,L,L,4.0,1,5.0,Unknown Shooter
5,IRE,L,R,7.0,1,6.0,Unknown Shooter
5,ROM,R,L,1.0,1,7.0,Unknown Shooter
5,IRE,L,L,8.0,1,8.0,Unknown Shooter
5,ROM,R,L,7.0,0,9.0,Unknown Shooter
5,IRE,R,L,6.0,1,10.0,Unknown Shooter
6,ARG,R,L,6.0,1,1.0,Unknown Shooter
6,YUG,R,R,1.0,0,2.0,Unknown Shooter
6,ARG,R,R,1.0,1,3.0,Unknown Shooter
6,YUG,R,R,4.0,1,4.0,Unknown Shooter
6,ARG,L,L,7.0,0,5.0,Unknown Shooter
